id,WI,dem,urban_near,road_near,耕地面积,林地面积,草地面积,湿地面积,城市面积,裸地面积,水体面积,NTL_mean
BD201400000345,4.275862069,10.72248804,8873.790822,8846.765639,91162587.8,0,0,0,626882.3936,0,243438.7471,0.474002301
BD201400000346,4.6,11.32619048,23937.70501,2224.634781,91162587.8,417921.5958,0,0,835843.1914,0,0,0.615177749
BD201400000347,4.413793103,3.816666667,7.712243054,202.924381,91162587.8,0,0,0,1776166.782,0,2147805.66,0.578426997
BD201400000348,1.666666667,4.222488038,22047.64044,2357.088432,91162587.8,3856347.592,0,835843.1914,0,0,4248303.756,0.202790829
BD201400000349,3.230769231,13.85952381,13263.92715,7663.186453,91162587.8,756261.8366,0,0,0,0,24157942.99,0.251145204
BD201400000350,4,15.52857143,522.6170558,551.8192107,91162587.8,14829002.85,0,4301972.119,17556151.93,0,32340090.37,2.304982306
BD201400000351,3.793103448,10.01428571,555.6870786,1326.619614,91162587.8,8320989.754,0,3799786.995,20344544.8,0,35609763.42,2.297904583
BD201400000352,4.333333333,17.54524362,867.9795947,1305.367872,91162587.8,14437375.05,5575893.736,3524298.161,17429600.47,0,13443170.31,2.279444846
BD201400000353,3.233333333,5.779545455,0,429.0790257,91162587.8,6464070.256,301869.5745,1388467.184,26954686.61,0,18073099.2,2.869809106
BD201400000354,4.655172414,4.529209622,0,435.4714353,91162587.8,3759021.679,0,313441.1968,18747549.57,0,12063886.39,2.277772865
BD201400000355,4.517241379,5.408163265,0,18.18890624,91162587.8,5618793.58,187596.2583,1113444.707,21957117.29,0,11092671.91,2.50504801
BD201400000356,4.793103448,4.922902494,268.2280314,406.2814918,91162587.8,4652807.07,0,2554524.065,24350348.53,0,24749550.92,2.520621873
BD201400000357,4.551724138,5.380952381,0,219.53566,91162587.8,3916486.288,0,894780.5867,23478450.09,0,20074536.44,2.634728689
BD201400000358,4.566666667,5.178571429,0,114.4380046,91162587.8,3226624.065,0,1926422.403,22181216.18,0,22445076.68,2.415240748
BD201400000359,3.034482759,4.7475,10377.97651,6864.805547,91162587.8,0,0,60523.70827,0,0,1247182.919,0.348047521
BD201400000360,1.892857143,5.221428571,15239.82221,1668.824243,91162587.8,0,0,0,0,0,195115.3362,0.170933028
BD201400000361,2.178571429,4.777777778,6800.060676,6158.701478,91162587.8,0,0,0,0,0,0,0.269557727
BD201400000362,1.766666667,4.780952381,10020.24957,3355.34308,91162587.8,0,0,0,0,0,522401.9946,0.198127836
BD201400000363,2.793103448,4.661904762,10159.63008,3676.944931,91162587.8,0,0,0,0,0,0,0.328581274
BD201400000365,2.642857143,19.45804989,14766.02136,7747.857626,91162587.8,0,0,0,0,0,3034610.334,0.326558344
BD201400000366,3.535714286,16.59285714,317.5265512,1056.284766,91162587.8,0,0,0,15388250.95,0,0,1.94719778
BD201400000367,2.206896552,20.04761905,13126.45022,8289.061336,91162587.8,0,0,0,417921.5957,0,1069495.826,0.277205858
BD201400000368,1.933333333,16.72857143,14826.15679,48.89844848,91162587.8,0,0,0,104480.3989,0,0,0.472075562
BD201400000369,2.3,19.78181818,16607.12863,7297.451344,91162587.8,0,0,0,0,0,3304008.305,0.224481594
BD201400000370,2.862068966,17.56904762,9135.860427,2808.808372,91162587.8,0,0,0,0,0,930410.5863,0.199606063
BD201400000371,2.75,18.94331066,18369.23175,702.7163012,91162587.8,0,0,0,0,0,313441.1968,0.465069652
BD201400000372,2.517241379,21.05,9078.684662,598.196444,91162587.8,0,0,0,940323.5903,0,0,0.359694511
BD201400000373,2.576923077,16.67919799,13616.86718,525.377107,91162587.8,0,0,313441.1968,104480.3989,0,42753135.9,0.13115302
BD201400000374,3.178571429,21.55952381,9291.676784,2376.340718,91162587.8,0,0,0,0,0,522401.9946,0.261334586
BD201400000375,2.379310345,18.8,29686.81145,1151.955659,91162587.8,0,0,208960.7978,0,0,28891576.38,0.167508966
BD201400000376,2.433333333,21.57655502,27125.20821,367.3409734,91162587.8,0,0,0,0,0,10427921.8,0.204859825
BD201400000377,3.2,22.04784689,20231.73533,2689.651825,91162587.8,0,0,0,522401.9946,0,424884.7,0.566203525
BD201400000378,2.75862069,24.30382775,7157.646026,417.0430594,91162587.8,0,0,0,0,0,357363.3673,0.451203842
