id,??,??,??,??,??,??,??,WI,NTL_mean,road,dem
BD201800000179,0,8.79247,1.87811,0,89.32791,0,0,4.724137931,3.574684501,10.54,29.07029478
BD201800000180,3.38078,0,46.32752,0,47.21675,2.86405,0.20942,3.428571429,0.415488483,11.1,9.485
BD201800000181,3.3273,0,40.29945,0,55.2484,1.12337,0,3.2,0.34660968,1.95,118.0657596
BD201800000182,0,0,0,0,55.31493,0,44.68359,1.666666667,0.256719119,0.36,6.052154195
BD201800000183,0,0.80097,0.49751,0,76.38036,0,22.31967,3.733333333,1.069862507,5.23,17.70952381
BD201800000184,0,0,1.07448,0,98.92403,0,0,1.884615385,0.512696579,11.72,3.685714286
BD201800000185,0,4.14418,0.76091,0,95.09341,0,0,2.793103448,1.172348379,22.6,31.89569161
BD201800000186,0,0.07154,0.24519,0,84.51194,0.24205,14.9278,2.103448276,0.260972935,0,18.43341404
BD201800000187,0.17853,0,0,0,99.80903,0,0.01093,2.321428571,0.366936017,5.72,36.23129252
BD201800000188,0,0,0.94352,0,87.02838,0,12.02662,2.793103448,0.361324403,0,34.80851064
BD201800000189,0,0,0.83915,0,96.33822,0,2.82113,2.344827586,0.37364801,0,9.021428571
BD201800000190,0,0,0,0,98.09555,0,1.90297,3.666666667,0.760999677,0,135.975
BD201800000191,0,0,0,0,99.71236,0,0.28616,3.75862069,1.066536815,0,11.5
BD201800000192,0,0.67663,0,0,98.23665,0,1.08522,3.3,0.988398914,12.97,12.88208617
BD201800000193,0,0.14308,0.63567,0,88.20289,0,11.01688,3.724137931,0.611033895,11.51,7.70521542
BD201800000194,0,0.73115,1.36835,0,90.2491,0,7.64991,4.103448276,0.828756512,9.16,137.122449
BD201800000195,0.69243,0.21462,0.49042,0,92.09538,0,6.50565,4.2,0.61460077,13.45,13.24943311
BD201800000196,0,5.90582,1.06831,0,90.30688,0,2.71751,3.566666667,1.903321181,12.91,9.25952381
BD201800000197,0,55.87904,0.57255,0,40.66244,0,2.88451, ,8.871112609,36.5,14.63095238
BD201800000198,0,55.7994,0.16522,0,35.71286,0,8.32105, ,8.249697717,48.13,5.70952381
BD201800000199,0,72.65306,0.33859,0,18.87493,0,8.13184, ,10.33385964,38.9,42.31666667
BD201800000200,0,0,13.26814,0,85.9822,0,0.74814,3.633333333,0.956302789,2.37,32.55952381
BD201800000201,0,11.40913,0.18318,0,76.34579,0,12.0604,4.62962963,1.778517044,3.31,23.06349206
BD201800000202,0,0.43209,2.54716,0,96.17378,0,0.84546,4.066666667,1.412623133,26.05,11.10430839
BD201800000203,0,0,0,0,64.61427,0,35.38419,2.566666667,0.647837979,3.35,13.21768707
BD201800000204,0,0,0,0,94.75736,0,5.24115,3.8,0.36050906,0,109.9571429
BD201800000205,0,0,0,0,98.8387,0,1.15982,2.821428571,0.435425857,1.63,34.41043084
BD201800000206,3.60214,0,0.4561,8.4868,75.19958,0.14103,12.11285,2.5,0.297556645,7.24,7.854875283
